Instruction,Latency,Throughput_ILP1,Throughput_ILP2,Throughput_ILP3,PeakWarps_ILP1,PeakWarps_ILP2,PeakWarps_ILP3
FADD,4.02,103.10,113.50,119.13,16,16,8
FSUB,4.02,103.24,115.10,119.21,16,8,8
FMUL,4.02,103.07,115.37,119.41,16,8,8
FMA,4.04,103.30,112.11,112.51,16,16,8
ADDS,0.02,257.64,570.19,793.57,16,32,16
SUBS,0.02,257.32,525.60,785.65,16,16,16
AND,0.03,261.36,465.83,550.14,16,16,16
MADS,0.02,159.60,289.22,487.03,16,32,32
MULS,27.25,14.20,13.43,15.06,32,16,16
DIVS,8.25,29.57,21.96,21.86,8,16,8
DIVF,38.00,11.18,10.52,10.62,32,32,32
SQRT,44.63,9.92,10.28,10.34,32,32,32
SETP,14.25,29.09,27.00,34.43,16,8,8
CVT,23.11,15.26,15.93,15.91,16,8,8
MOV,0.03,174762.67,N.A.,N.A.,32,N.A.,N.A.
MOV.U32,0.02,16384.00,N.A.,N.A.,1,N.A.,N.A.
MOV.F32,0.03,174762.67,N.A.,N.A.,32,N.A.,N.A.
MOV.B64,0.03,8192.00,N.A.,N.A.,1,N.A.,N.A.
MOV.B32,0.02,16384.00,N.A.,N.A.,1,N.A.,N.A.
ADD.S32,0.02,256.19,462.34,793.57,16,16,16
ADD.S64,0.03,240.39,482.66,732.59,16,16,16
SUB.S32,0.02,256.88,530.92,794.78,16,16,16
MUL.LO.S32,27.25,14.04,13.44,15.10,32,16,16
MUL.WIDE.S32,84.72,3.52,3.13,3.62,32,16,16
MAD.LO.S32,27.78,14.20,13.07,14.67,32,16,16
